采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩,变频器电网侧Cosphi,电网频率误差
146,8.67,312.0,0.32,0.34,0.32,11.2,10.9,10.8,0.0,6.0,0.03,0.13,0.7,204.9,4.7,255.0,1.0,3.0,164.0,696.0,199.0,0.0,209.0,8.76,327.7,226.0,30.9,26.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.4,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,17.0,24.0,12.6,18.9,27.0,29.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
147,8.68,24.0,0.32,0.34,0.32,11.6,11.0,10.7,0.0,6.8,0.03,0.07,0.7,204.9,4.1,254.0,1.0,3.0,170.0,696.0,206.0,0.0,212.0,8.72,330.9,234.0,30.8,26.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.4,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.2,0.0,0.0,0.0,1.0,0.0
148,8.64,96.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,4.1,0.02,0.05,0.7,204.8,4.3,255.0,1.0,3.0,176.0,697.0,213.0,-3.0,220.0,8.7,337.9,233.0,31.0,26.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.4,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
149,8.51,168.0,0.32,0.34,0.32,11.0,11.4,10.6,0.0,4.5,0.05,0.12,0.7,204.7,4.1,255.0,1.0,3.0,175.0,696.0,212.0,0.0,222.0,8.74,337.6,232.0,31.0,26.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.4,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,33.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
150,8.51,240.0,0.32,0.34,0.32,10.9,11.5,10.8,0.0,4.1,0.02,0.05,0.7,205.0,4.0,254.0,1.0,3.0,165.0,696.0,200.0,-2.0,212.0,8.71,334.9,226.0,30.7,26.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.4,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
151,8.57,312.0,0.32,0.34,0.32,10.8,10.9,11.2,0.0,3.9,0.01,0.07,0.7,204.8,4.3,254.0,1.0,3.0,162.0,696.0,197.0,-2.0,207.0,8.71,329.5,225.0,30.6,26.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.4,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
152,8.48,24.0,0.32,0.34,0.32,10.8,10.8,11.0,0.0,5.1,0.05,0.11,0.7,204.6,3.7,254.0,1.0,3.0,167.0,696.0,202.0,0.0,208.0,8.7,327.9,224.0,30.8,26.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,17.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
153,8.61,96.0,0.32,0.34,0.32,11.1,11.0,10.8,0.0,4.7,0.02,0.05,0.7,205.1,4.0,254.0,1.0,3.0,168.0,696.0,203.0,-2.0,209.0,8.69,326.4,224.0,30.7,26.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
154,8.62,168.0,0.32,0.34,0.32,11.6,11.0,10.6,0.0,2.6,0.05,0.07,0.7,204.8,3.6,254.0,1.0,3.0,168.0,697.0,203.0,-2.0,217.0,8.7,328.7,229.0,30.5,25.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
155,8.56,240.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,0.9,0.05,0.11,0.7,204.7,4.8,254.0,1.0,3.0,171.0,696.0,207.0,-3.0,214.0,8.68,332.3,229.0,30.7,25.7,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
156,8.56,312.0,0.32,0.34,0.32,11.1,11.3,10.6,0.0,1.0,0.0,0.02,0.7,205.0,4.5,254.0,1.0,3.0,169.0,696.0,205.0,-3.0,217.0,8.68,332.8,227.0,30.6,25.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,33.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
157,8.48,24.0,0.32,0.34,0.32,10.8,11.5,10.9,0.0,1.1,0.05,0.08,0.7,204.7,4.6,254.0,1.0,3.0,163.0,696.0,198.0,-3.0,215.0,8.68,329.9,224.0,30.4,25.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
158,8.55,96.0,0.32,0.34,0.32,10.8,10.9,11.1,0.0,1.8,0.03,0.08,0.7,204.5,4.7,254.0,1.0,3.0,162.0,696.0,196.0,-3.0,207.0,8.7,327.5,223.0,30.5,25.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
159,8.45,168.0,0.32,0.34,0.32,10.8,10.9,10.9,0.0,-2.7,0.02,0.02,0.7,204.7,4.1,255.0,1.0,3.0,162.0,697.0,196.0,0.0,201.0,8.64,325.7,224.0,30.5,25.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
160,8.61,240.0,0.32,0.34,0.32,11.0,10.9,10.8,0.0,-6.3,0.04,0.11,0.7,205.0,4.6,255.0,1.0,3.0,168.0,696.0,203.0,-3.0,206.0,8.66,325.6,223.0,30.7,25.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,420.0,4.1,0.0,0.0,0.0,1.0,0.0
161,8.61,312.0,0.32,0.34,0.32,11.5,10.9,10.6,0.0,-5.1,0.05,0.08,0.7,204.6,3.9,255.0,1.0,3.0,171.0,696.0,207.0,-2.0,214.0,8.66,326.3,228.0,30.5,25.6,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
162,8.54,24.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,-4.1,0.01,0.05,0.7,205.0,4.2,255.0,1.0,3.0,168.0,696.0,204.0,-3.0,217.0,8.66,331.7,229.0,30.4,25.7,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
163,8.49,96.0,0.32,0.34,0.32,11.0,11.3,10.6,0.0,-2.2,0.07,0.1,0.7,205.2,4.1,255.0,1.0,3.0,164.0,697.0,199.0,-3.0,208.0,8.66,332.7,227.0,30.5,25.5,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,14.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,40.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
164,8.44,168.0,0.32,0.34,0.32,10.8,11.6,10.9,0.0,-1.8,0.02,0.07,0.7,204.5,4.5,255.0,1.0,3.0,162.0,697.0,196.0,0.0,204.0,8.61,330.1,223.0,30.4,25.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.1,15.7,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,41.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
165,8.38,240.0,0.32,0.34,0.32,10.8,11.0,11.1,0.0,-2.6,0.0,0.05,0.7,204.8,4.5,255.0,1.0,3.0,162.0,696.0,197.0,1.0,201.0,8.61,325.5,220.0,30.5,25.6,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
166,8.37,312.0,0.32,0.34,0.32,10.8,10.8,11.0,0.0,-0.4,0.05,0.11,0.7,205.1,4.0,255.0,1.0,3.0,164.0,696.0,199.0,-3.0,206.0,8.59,321.5,221.0,30.2,25.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
167,8.63,24.0,0.32,0.34,0.32,10.9,10.9,10.8,0.0,1.5,-0.01,0.07,0.7,204.8,4.7,255.0,1.0,3.0,162.0,697.0,197.0,-3.0,208.0,8.64,320.1,219.0,30.3,25.5,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,420.0,4.1,0.0,0.0,0.0,1.0,0.0
168,8.53,96.0,0.32,0.34,0.32,11.4,10.9,10.7,0.0,1.8,0.06,0.05,0.7,204.7,4.4,255.0,1.0,3.0,162.0,696.0,196.0,-5.0,211.0,8.6,321.2,226.0,30.2,25.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
169,8.49,168.0,0.32,0.34,0.32,11.5,10.9,10.6,0.0,2.1,0.03,0.11,0.7,204.8,4.6,255.0,1.0,3.0,161.0,696.0,195.0,-3.0,208.0,8.62,327.7,225.0,30.2,25.5,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
170,8.48,240.0,0.32,0.34,0.32,11.0,11.2,10.6,0.0,1.7,0.02,0.07,0.7,204.6,4.6,255.0,1.0,3.0,163.0,696.0,198.0,1.0,203.0,8.57,327.5,226.0,30.2,25.5,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
171,8.4,312.0,0.32,0.34,0.32,10.8,11.6,10.8,0.0,1.9,0.07,0.05,0.7,204.8,3.7,255.0,1.0,3.0,162.0,696.0,196.0,-1.0,201.0,8.57,326.9,220.0,30.1,25.3,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,33.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
172,8.34,24.0,0.32,0.34,0.32,10.8,11.2,11.1,0.0,2.7,-0.01,0.12,0.7,204.7,4.5,254.0,1.0,3.0,163.0,696.0,197.0,0.0,205.0,8.56,321.9,220.0,30.0,25.3,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,41.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
173,8.42,96.0,0.32,0.34,0.32,10.9,10.8,11.1,0.0,4.7,0.05,0.07,0.7,204.9,3.8,254.0,1.0,3.0,162.0,696.0,197.0,-3.0,206.0,8.6,319.8,219.0,30.0,25.3,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
174,8.4,160.0,0.32,0.34,0.32,10.9,10.9,10.8,0.0,9.1,0.03,0.07,0.7,204.9,4.2,253.0,1.0,3.0,158.0,696.0,192.0,3.0,204.0,8.58,319.2,219.0,30.2,25.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.03,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
175,8.5,232.0,0.32,0.34,0.32,11.3,10.9,10.6,0.0,7.7,0.02,0.11,0.7,204.7,4.4,253.0,1.0,3.0,158.0,696.0,192.0,3.0,204.0,8.61,319.3,221.0,29.9,25.5,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,27.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.03,42.0,420.0,4.0,0.0,0.0,0.0,1.0,0.0
176,8.51,304.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,5.4,0.08,0.05,0.7,204.9,4.1,253.0,1.0,3.0,161.0,696.0,195.0,1.0,203.0,8.57,322.4,224.0,29.9,25.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.6,18.9,26.0,28.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.03,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
177,8.41,16.0,0.32,0.34,0.32,11.3,11.1,10.6,0.0,1.2,0.0,0.08,0.7,204.7,4.3,254.0,1.0,3.0,164.0,696.0,199.0,1.0,203.0,8.57,324.6,223.0,30.0,25.4,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
178,8.42,88.0,0.32,0.34,0.32,10.8,11.6,10.7,0.0,1.8,0.02,0.11,0.7,204.8,4.0,254.0,1.0,3.0,165.0,696.0,200.0,3.0,205.0,8.57,323.9,220.0,30.0,25.5,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,33.0,34.0,24.0,24.0,26.0,44.99,44.84,45.03,40.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
179,8.43,160.0,0.32,0.34,0.32,10.8,11.2,11.1,0.0,1.9,0.05,0.05,0.7,204.7,4.6,254.0,1.0,3.0,163.0,696.0,198.0,3.0,208.0,8.59,320.9,220.0,30.0,25.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.84,45.04,40.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
180,8.45,232.0,0.32,0.34,0.32,10.9,10.8,11.0,0.0,3.2,0.0,0.08,0.7,204.5,4.3,254.0,1.0,3.0,162.0,696.0,196.0,2.0,208.0,8.62,320.1,220.0,29.9,25.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.84,45.04,41.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
181,8.42,304.0,0.32,0.34,0.32,10.9,10.9,10.8,0.0,4.4,0.05,0.09,0.7,204.6,4.4,253.0,1.0,3.0,159.0,696.0,193.0,1.0,202.0,8.63,320.3,220.0,29.7,25.2,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
182,8.56,16.0,0.32,0.34,0.32,11.1,10.9,10.8,0.0,3.3,0.03,0.05,0.7,204.7,4.5,253.0,1.0,3.0,158.0,696.0,192.0,2.0,201.0,8.61,319.8,222.0,29.8,25.1,0.0,2.2,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
183,8.58,88.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,3.0,0.02,0.08,0.7,204.7,4.1,253.0,1.0,3.0,169.0,695.0,205.0,-2.0,208.0,8.63,324.0,228.0,29.8,25.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
184,8.53,160.0,0.32,0.34,0.32,11.3,11.0,10.6,0.0,1.2,0.05,0.09,0.7,204.8,4.6,254.0,1.0,3.0,169.0,697.0,205.0,1.0,213.0,8.62,329.0,227.0,29.7,25.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
185,8.52,232.0,0.32,0.34,0.32,10.9,11.6,10.7,0.0,1.8,0.05,0.05,0.7,204.9,4.2,254.0,1.0,3.0,166.0,696.0,202.0,-2.0,216.0,8.69,329.9,226.0,29.6,25.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,14.0,24.0,12.6,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,40.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
186,8.51,304.0,0.32,0.34,0.32,10.9,11.3,10.9,0.0,3.1,0.02,0.09,0.7,204.5,5.0,253.0,1.0,3.0,163.0,696.0,197.0,1.0,207.0,8.68,327.6,223.0,29.7,25.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,15.0,24.0,12.5,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,40.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
187,8.54,16.0,0.32,0.34,0.32,10.9,10.9,11.1,0.0,3.9,0.02,0.09,0.7,204.7,4.7,253.0,1.0,3.0,162.0,696.0,197.0,-2.0,205.0,8.7,325.4,224.0,29.5,25.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.5,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
188,8.55,88.0,0.32,0.34,0.32,10.8,10.9,10.9,0.0,5.8,0.08,0.05,0.7,205.0,4.8,253.0,1.0,3.0,168.0,696.0,204.0,-1.0,206.0,8.73,325.6,225.0,29.7,24.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.8,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.5,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
189,8.72,160.0,0.32,0.34,0.32,11.2,10.9,10.8,0.0,6.2,0.01,0.11,0.7,204.9,5.0,253.0,1.0,3.0,171.0,697.0,207.0,-3.0,213.0,8.74,326.2,227.0,29.4,24.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.7,18.1,15.6,17.4,49.6,50.4,16.0,24.0,12.5,18.9,26.0,27.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
